question,answer,category,difficulty
"Quel est le nom de l’instrument à vent chinois ancien fabriqué en bambou, utilisé dans l’opéra traditionnel ?","Sheng","Musique ancienne","très difficile"
"Quel est le nom du roi assyrien connu pour avoir construit la bibliothèque de Ninive ?","Assurbanipal","Histoire / Antiquité","très difficile"
"Quel est le nom de l’écrivain japonais du XVIIe siècle auteur des Haïkus classiques ?","Matsuo Bashō","Littérature","difficile"
"Quel est le nom de l’instrument à cordes frappées ancêtre du piano, utilisé au Moyen Âge ?","Clavicymbalum","Musique ancienne","très difficile"
"Quel est le nom de la plus ancienne horloge astronomique encore en fonctionnement en Europe ?","Horloge de Strasbourg","Histoire / Sciences","très difficile"
"Quel est le nom du philosophe grec qui inventa la théorie des quatre éléments ?","Empédocle","Philosophie ancienne","très difficile"
"Quel est le nom du manuscrit médiéval contenant la plus ancienne représentation connue d’une horloge mécanique ?","Manuscrit de Strasbourg","Histoire / Sciences","très difficile"
"Quel est le nom de la chaîne de fast-food connue pour ses burgers végétariens et son engagement en faveur de l'agriculture biologique en France ?","O'Sullivans","Gastronomie","difficile"
"Quel est le nom de la chaîne de fast-food française spécialisée dans les sandwichs chauds, souvent avec du fromage fondu, et qui a plus de 200 restaurants en France ?","Bagelstein","Gastronomie","moyen"
"Quel est le nom de la chaîne de fast-food d'origine française qui propose des plats de nouilles asiatiques préparés sur place et sur mesure ?","Wok to Walk","Gastronomie","moyen"
"Quelle est la 4ème chaîne de fast-food en France en termes de chiffre d'affaires, connue pour ses pizzas à la livraison ?","Domino's Pizza","Gastronomie / Entreprise","difficile"
"Quelle est la 6ème chaîne de magasins de sport en France en termes de chiffre d'affaires ?","Sport 2000","Commerce / Sport","moyen"
"Quelle est la 7ème chaîne de fast-food en France","O'Tacos","Gastronomie / Entreprise","difficile"
"Quel est le nom de la chaîne de magasins de sport qui a racheté Go Sport et se place en tant que deuxième acteur du marché français derrière Decathlon ?","Intersport","Commerce / Sport","moyen"
"Quelle est la 8ème chaîne de fast-food en France, spécialisée dans les pizzas ?","Pizza Hut","Gastronomie / Entreprise","moyen"
"Quelle est la 2ème chaîne de boulangeries en France en termes de chiffre d'affaires, connue pour ses pains artisanaux ?","Paul","Commerce / Boulangerie","difficile"
"Quelle est la 4ème chaîne de magasins de bricolage en France en termes de part de marché ?","Mr. Bricolage","Commerce / Bricolage","difficile"
"Quelle est la 4ème chaîne de magasins de jouets en France selon un classement de 2021, célèbre pour son rachat par La Grande Récré ?","PicwicToys","Commerce / Enfance","très difficile"
"Quel est le nom du bombardier stratégique supersonique soviétique des années 1960 ?","Tupolev Tu-22","Aviation / Histoire","très difficile"
"Quel est le nom du prototype d’avion furtif américain conçu dans les années 1970 mais jamais produit en série ?","Lockheed Have Blue","Aviation / Prototypes","très difficile"
"Quel est le nom du premier avion amphibie capable de décoller et d’atterrir sur l’eau et la terre ?","Curtiss NC Flying Boat","Aviation / Histoire","très difficile"
"Quel est le nom du bombardier stratégique américain utilisé durant la guerre froide et surnommé 'the Bone' ?","B-1 Lancer","Aviation / Militaire","difficile"
"Quel est le nom de la plante dont le fruit, la caroube, était utilisé pour créer l'unité de mesure du carat ?","Le caroubier","Histoire / Botanique","très difficile"
"Quelle est la devise monétaire des Maldives ?","Rufiyaa","Économie / Géographie","difficile"
"Quel est le nom du premier journal imprimé au monde ?","Relation aller Fürnemmen und gedenckwürdigen Historien","Histoire / Médias","très difficile"
